Unnamed: 0,b_b_mm,h_b_mm,As_d,As_n,L_kr_m,q_ts_m,def,target
518,400,445,20,1,2.1,2.25,0.221,1
524,315,585,18,1,4.2,1.39,0.498,1
529,370,590,14,3,4.2,1.43,0.28,1
532,470,570,16,2,1.5,1.86,0.055,1
539,360,420,20,1,1.7999999999999998,0.56,0.043,1
544,490,500,16,2,6.0,1.15,0.626,1
550,145,545,14,3,5.7,1.34,0.558,1
557,435,445,20,1,1.2,1.91,0.061,1
558,315,400,14,1,2.4,1.28,0.364,1
566,450,520,18,1,3.9,2.25,0.783,1
570,295,545,12,2,2.4,2.06,0.287,1
578,205,545,12,3,1.5,1.77,0.066,1
579,355,470,14,3,3.0,0.63,0.081,1
580,435,550,16,1,2.7,1.43,0.282,1
585,275,535,20,1,0.8999999999999999,1.02,0.015,1
588,370,470,18,1,3.0,2.12,0.489,1
593,480,445,18,1,3.9,1.4,0.576,1
594,415,475,18,3,4.5,2.48,0.441,1
600,265,395,16,1,4.2,0.95,0.654,1
601,350,520,12,1,2.7,1.38,0.505,1
607,320,525,14,1,1.7999999999999998,1.45,0.173,1
611,240,450,18,1,3.0,0.54,0.132,1
621,450,445,12,2,1.5,2.45,0.164,1
622,160,455,14,1,1.5,0.61,0.06,1
626,360,550,18,1,3.6,1.17,0.328,1
628,295,515,18,2,2.7,0.74,0.065,1
633,395,560,12,1,2.7,1.66,0.561,1
634,205,430,16,1,3.6,1.7,0.79,1
639,400,440,16,3,4.2,1.17,0.245,1
642,420,485,18,1,5.1,0.67,0.43,1
644,450,540,12,1,2.1,1.29,0.274,1
657,185,370,16,2,1.5,0.55,0.028,1
661,305,575,20,3,3.0,1.62,0.088,1
673,400,505,18,1,1.5,1.52,0.081,1
675,200,600,16,1,2.1,1.4,0.154,1
683,210,425,20,1,4.2,1.89,0.803,1
686,350,400,18,1,2.1,2.37,0.32,1
688,460,495,20,3,3.9,0.61,0.064,1
702,345,520,14,3,1.5,0.62,0.018,1
706,215,400,12,3,4.5,1.82,0.855,1
709,150,385,16,3,2.4,1.57,0.141,1
712,365,365,14,2,3.6,0.54,0.194,1
719,235,550,20,1,0.8999999999999999,1.33,0.019,1
720,350,460,14,3,1.5,1.43,0.047,1
726,320,390,14,1,2.4,0.81,0.236,1
738,215,355,20,1,4.2,1.04,0.543,1
740,330,430,20,1,5.4,1.4,0.95,1
741,290,525,18,3,2.4,1.48,0.069,1
747,425,480,16,1,4.2,1.7,0.937,1
755,170,430,20,1,4.5,0.52,0.254,1
759,230,395,20,1,3.3,2.0,0.567,1
761,250,360,16,3,5.1,1.14,0.462,1
781,310,430,20,1,1.2,1.01,0.034,1
798,425,510,18,2,2.1,1.32,0.069,1
810,160,485,16,2,3.9,2.17,0.547,1
812,280,585,14,1,1.2,2.09,0.099,1
813,475,425,14,2,0.8999999999999999,2.38,0.045,1
826,470,465,20,2,2.1,2.1,0.1,1
833,385,430,14,1,3.3,1.81,0.896,1
834,370,600,16,3,2.7,2.49,0.154,1
835,185,495,16,2,3.0,2.39,0.344,1
836,280,425,20,2,2.4,1.73,0.124,1
839,280,375,16,1,0.8999999999999999,2.05,0.069,1
845,270,500,14,1,1.2,0.87,0.049,1
865,225,520,14,2,3.0,0.9,0.155,1
890,395,450,18,1,3.0,1.93,0.466,1
891,430,505,12,1,1.5,1.79,0.208,1
894,485,590,20,3,1.5,2.11,0.027,1
896,475,540,12,3,4.2,2.01,0.576,1
898,375,570,16,1,3.9,1.69,0.67,1
901,420,355,16,3,2.4,2.33,0.203,1
902,275,455,18,2,2.1,0.51,0.031,1
905,300,415,14,2,3.0,1.25,0.272,1
914,375,380,12,3,3.0,0.88,0.189,1
917,315,405,12,3,2.7,2.15,0.351,1
918,265,390,12,3,3.0,0.57,0.121,1
923,335,525,20,3,3.3,1.05,0.076,1
936,460,520,14,2,0.8999999999999999,2.16,0.033,1
947,430,560,16,1,4.2,1.24,0.58,1
955,340,545,12,3,0.8999999999999999,0.94,0.012,1
957,235,470,18,3,5.4,1.51,0.413,1
963,280,460,14,3,3.3,2.38,0.382,1
966,375,395,16,2,3.0,0.78,0.139,1
967,425,555,14,2,2.1,2.23,0.172,1
973,150,405,14,1,1.2,0.95,0.068,1
981,465,375,12,3,1.5,0.71,0.038,1
982,240,380,16,2,2.7,0.75,0.116,1
985,325,425,14,1,3.3,0.85,0.427,1
987,255,430,14,2,1.2,0.75,0.025,1
997,165,370,12,2,3.6,1.7,0.829,1
998,240,415,20,1,5.4,0.95,0.681,1
1001,485,540,12,3,3.3,0.99,0.175,1
1003,450,460,18,1,3.0,1.81,0.425,1
1012,345,520,12,1,5.4,0.52,0.76,1
1019,195,540,20,1,2.7,1.49,0.201,1
1024,200,430,18,1,1.7999999999999998,1.63,0.152,1
1028,290,390,20,3,5.4,1.02,0.286,1
1032,445,475,20,3,1.7999999999999998,1.1,0.026,1
1037,290,540,18,2,3.6,0.95,0.14,1
1039,260,520,14,3,5.4,1.76,0.664,1
1070,325,500,20,3,3.3,1.29,0.099,1
1073,360,430,12,3,4.2,0.81,0.299,1
1090,325,405,18,3,1.5,1.61,0.039,1
1100,205,405,12,3,3.3,1.08,0.27,1
1109,415,410,20,3,2.7,1.88,0.119,1
1116,315,560,20,1,4.5,2.05,0.724,1
1130,455,580,14,2,5.4,1.07,0.521,1
1138,450,365,12,1,3.6,0.61,0.574,1
1139,450,450,18,2,2.4,1.94,0.153,1
1140,325,590,16,2,3.3,1.04,0.145,1
1147,325,405,16,2,3.0,1.0,0.174,1
1157,285,405,12,3,1.2,2.47,0.08,1
1158,150,375,20,2,2.4,1.92,0.176,1
1167,275,450,18,2,3.3,0.67,0.102,1
1183,165,500,18,2,3.0,0.52,0.061,1
1189,405,545,18,3,5.7,2.26,0.554,1
1193,250,405,20,1,2.1,1.91,0.212,1
1198,495,495,18,1,5.7,0.62,0.485,1
1212,230,515,14,3,6.0,0.82,0.389,1
1220,260,485,16,2,4.2,1.06,0.3,1
1227,155,420,14,3,0.8999999999999999,1.05,0.015,1
1228,255,505,18,3,3.3,1.18,0.11,1
1241,365,600,18,2,1.5,1.14,0.026,1
1243,475,375,18,3,1.5,1.92,0.049,1
1252,400,405,14,2,0.8999999999999999,1.44,0.029,1
1253,240,525,16,2,3.6,1.37,0.262,1
1254,205,515,18,2,1.7999999999999998,1.47,0.059,1
1257,385,475,16,2,4.2,2.15,0.611,1
1263,405,460,20,1,4.8,0.64,0.316,1
1289,355,395,20,1,2.4,0.96,0.141,1
1294,270,430,18,2,5.7,1.57,0.754,1
1302,145,370,20,1,2.1,1.82,0.234,1
1303,350,565,18,2,5.1,0.94,0.262,1
1312,175,585,14,3,1.7999999999999998,1.62,0.061,1
1316,380,480,12,3,4.5,2.12,0.795,1
1319,185,425,14,2,2.1,2.07,0.221,1
1320,415,475,18,3,3.6,1.47,0.167,1
1324,455,360,14,1,1.7999999999999998,1.83,0.325,1
1329,280,600,18,1,3.6,1.4,0.359,1
1336,205,450,14,3,1.5,0.74,0.026,1
1339,370,435,18,1,4.8,0.66,0.424,1
1343,500,560,18,1,2.4,0.51,0.062,1
1344,145,405,12,1,2.4,1.32,0.505,1
1346,290,415,16,1,2.1,0.85,0.138,1
1351,270,565,14,1,5.1,0.63,0.561,1
1352,385,590,18,3,5.7,0.54,0.122,1
1358,240,490,20,1,2.7,2.11,0.314,1
1359,230,490,20,1,3.9,1.95,0.606,1
1363,265,580,18,2,4.5,0.93,0.199,1
1364,390,500,14,3,3.3,1.05,0.151,1
1367,225,575,14,3,1.2,0.69,0.012,1
1369,265,420,14,2,1.7999999999999998,1.34,0.104,1
1379,295,480,12,1,2.4,1.18,0.372,1
1380,430,395,20,2,4.8,1.14,0.344,1
1392,445,565,20,2,3.6,1.8,0.204,1
1393,420,510,14,3,3.9,1.72,0.338,1
1399,500,520,18,1,5.1,1.55,0.921,1
1400,215,540,20,2,3.3,1.65,0.173,1
1434,485,380,14,1,2.4,2.2,0.655,1
1437,400,450,18,3,3.9,1.76,0.251,1
1444,285,475,12,1,3.0,0.74,0.368,1
1455,310,580,12,3,2.4,0.67,0.059,1
1458,230,395,12,3,3.0,1.14,0.24,1
1461,200,585,18,1,4.8,1.46,0.692,1
1462,395,600,12,3,3.6,2.23,0.422,1
1465,150,585,18,3,0.8999999999999999,2.42,0.015,1
1471,220,555,14,3,2.1,0.97,0.052,1
1476,400,575,14,2,1.2,1.28,0.031,1
1488,280,590,12,1,1.5,2.39,0.237,1
1493,390,435,20,3,1.7999999999999998,1.3,0.034,1
1495,460,565,14,1,1.5,1.38,0.106,1
1498,480,550,18,2,5.1,1.28,0.364,1
1501,500,415,16,1,4.2,0.53,0.341,1
1504,355,550,12,2,3.6,2.07,0.64,1
1508,450,385,18,2,1.2,2.3,0.054,1
1519,170,380,20,2,5.4,0.92,0.409,1
1522,170,460,12,2,4.8,1.16,0.79,1
1527,230,560,12,1,3.6,0.93,0.562,1
1534,405,595,16,2,2.1,1.61,0.09,1
1539,255,555,12,3,4.8,0.83,0.307,1
1545,440,390,12,2,1.5,1.81,0.139,1
1546,150,365,18,3,2.7,2.05,0.211,1
1549,420,430,20,2,2.1,2.26,0.119,1
1554,180,540,16,3,5.1,2.08,0.543,1
1557,240,505,12,2,5.1,0.72,0.494,1
1560,215,490,16,1,1.2,1.07,0.048,1
1565,380,375,14,3,1.2,1.56,0.041,1
1569,285,465,20,3,2.4,2.15,0.096,1
1579,360,360,14,3,2.7,0.52,0.072,1
1581,500,490,18,2,3.6,0.56,0.09,1
1582,425,420,18,2,6.0,1.17,0.622,1
1590,280,355,18,3,2.7,1.38,0.129,1
1596,395,470,18,2,4.8,1.01,0.304,1
1599,265,425,16,2,4.8,1.74,0.743,1
1605,405,395,20,1,2.1,0.53,0.059,1
1609,490,365,14,1,1.5,0.9,0.109,1
1617,390,505,12,1,0.8999999999999999,1.0,0.042,1
1621,435,415,20,3,2.4,2.15,0.105,1
1622,155,405,16,2,2.1,1.48,0.134,1
1628,285,385,18,2,4.8,2.25,0.867,1
1629,445,560,20,1,2.4,2.25,0.224,1
1631,485,550,16,3,3.3,2.08,0.209,1
1634,345,390,16,1,1.2,1.31,0.074,1
1642,240,515,18,3,2.1,1.13,0.042,1
1646,140,435,18,3,1.5,2.31,0.059,1
1649,470,435,18,1,0.8999999999999999,1.65,0.037,1
1668,165,430,18,3,4.5,2.25,0.505,1
1675,445,410,12,3,2.4,2.38,0.299,1
1679,160,355,18,3,2.7,0.52,0.055,1
1683,465,470,12,3,3.0,1.51,0.256,1
1696,390,435,14,2,1.2,1.27,0.042,1
1698,430,520,16,2,5.4,1.9,0.806,1
1716,335,525,20,2,5.4,1.75,0.491,1
1729,385,385,16,2,4.5,2.39,0.983,1
1735,180,370,12,3,0.8999999999999999,1.42,0.03,1
1737,255,520,14,3,3.3,0.55,0.078,1
1741,265,465,20,1,0.8999999999999999,0.95,0.017,1
1743,440,470,12,1,3.6,0.76,0.548,1
1747,245,545,20,2,3.9,1.68,0.241,1
1759,200,540,18,1,3.6,2.02,0.587,1
1765,480,580,14,3,2.4,1.97,0.127,1
1775,205,360,18,3,4.5,1.81,0.489,1
1778,280,445,12,2,6.0,0.55,0.595,1
1787,360,475,12,2,3.3,2.31,0.701,1
1788,190,505,20,1,5.1,0.84,0.436,1
1790,460,550,18,2,1.5,2.42,0.06,1
1798,145,385,12,1,2.1,1.12,0.346,1
1804,460,440,20,2,5.7,1.16,0.434,1
1809,495,400,18,2,1.5,2.15,0.075,1
1811,190,410,18,3,5.7,2.23,0.829,1
1814,425,525,12,3,2.7,1.1,0.135,1
1817,330,505,12,1,3.3,0.86,0.485,1
1828,150,405,16,2,5.4,1.63,0.978,1
1829,210,525,20,1,2.7,1.91,0.264,1
1830,280,450,14,2,1.5,1.33,0.066,1
1841,255,365,18,2,5.7,1.18,0.69,1
1852,240,515,14,3,5.7,1.91,0.815,1
1856,395,465,16,3,2.7,1.09,0.089,1
1860,295,510,20,1,1.5,1.53,0.067,1
1868,410,510,14,2,5.1,1.83,0.913,1
1874,490,405,14,1,1.7999999999999998,1.41,0.221,1
1884,435,595,12,2,3.3,0.9,0.215,1
1889,200,415,12,3,4.5,1.66,0.752,1
1893,380,565,12,3,2.4,1.29,0.116,1
1894,470,365,18,3,5.1,2.27,0.695,1
1898,375,435,18,2,5.7,0.8,0.372,1
1907,335,395,14,1,2.1,1.78,0.392,1
1917,440,355,14,2,2.4,2.16,0.352,1
1923,390,375,20,2,4.2,1.85,0.457,1
1935,495,365,14,2,3.6,1.16,0.411,1
1936,440,540,18,1,1.7999999999999998,2.3,0.164,1
1950,295,495,16,2,3.3,0.9,0.153,1
1960,445,375,16,1,2.1,1.29,0.232,1
1962,285,420,12,1,1.7999999999999998,2.48,0.506,1
1963,320,510,12,1,3.3,0.82,0.457,1
1972,245,555,20,2,3.9,1.69,0.237,1
1974,455,430,16,1,5.1,0.92,0.84,1
1975,365,470,16,3,1.7999999999999998,1.9,0.068,1
1976,295,505,18,2,3.3,1.32,0.176,1
1983,310,525,20,3,5.7,0.84,0.182,1
1986,435,435,18,1,3.3,1.21,0.366,1
1988,385,380,18,2,6.0,0.98,0.587,1
1996,340,495,20,1,1.2,2.11,0.06,1
1998,315,355,12,3,3.3,0.7,0.198,1
2018,250,535,14,2,1.5,1.08,0.045,1
2020,210,570,12,1,1.2,1.56,0.103,1
2027,215,580,12,3,5.1,1.68,0.675,1
2032,185,405,18,3,5.4,0.92,0.313,1
2033,180,365,18,2,5.1,1.67,0.814,1
2039,345,440,16,2,2.7,2.09,0.268,1
2046,340,430,18,3,1.7999999999999998,1.28,0.041,1
2056,185,535,16,1,3.0,1.02,0.26,1
2057,360,510,18,1,0.8999999999999999,0.57,0.011,1
2063,310,580,12,3,3.0,0.64,0.088,1
2066,310,440,12,3,1.2,0.64,0.019,1
2074,460,595,14,2,2.7,1.23,0.146,1
2081,350,435,20,2,3.3,1.32,0.171,1
2102,465,525,20,3,2.4,1.94,0.072,1
2111,170,580,20,2,1.7999999999999998,0.89,0.026,1
2116,450,405,18,3,4.5,0.61,0.129,1
2117,150,550,18,3,3.9,1.15,0.145,1
2128,375,360,12,2,3.0,0.69,0.232,1
2131,305,470,18,3,2.7,2.44,0.162,1
2137,265,520,18,3,2.7,1.8,0.108,1
2138,205,420,16,1,1.5,2.33,0.193,1
2145,480,410,12,1,2.7,1.58,0.74,1
2151,155,375,18,1,4.8,0.59,0.466,1
2161,410,490,16,1,2.4,1.3,0.229,1
2169,470,395,18,3,4.5,1.52,0.331,1
2201,215,510,12,2,4.5,1.07,0.567,1
2210,340,555,12,3,2.4,0.53,0.049,1
2213,335,505,12,2,0.8999999999999999,0.53,0.011,1
2215,435,395,14,2,2.7,2.37,0.436,1
2218,365,445,20,3,4.5,1.23,0.198,1
2220,400,445,20,1,2.4,1.8,0.231,1
2224,195,525,12,2,4.8,1.58,0.927,1
2237,445,475,18,3,5.7,1.21,0.344,1
2241,415,355,14,2,3.6,1.4,0.515,1
2242,190,420,20,1,1.7999999999999998,1.34,0.107,1
2253,495,475,12,1,1.2,0.9,0.071,1
2254,245,460,18,1,6.0,1.03,0.984,1
2256,495,440,12,3,3.0,2.25,0.409,1
2278,190,575,18,3,4.2,2.43,0.325,1
2279,170,555,16,2,5.1,2.22,0.817,1
2291,265,440,18,2,3.6,2.07,0.387,1
2292,310,515,18,3,2.7,2.05,0.122,1
2301,370,515,18,1,3.0,2.36,0.493,1
2313,330,415,20,2,0.8999999999999999,0.93,0.009,1
2315,220,395,14,1,1.2,1.29,0.094,1
2325,295,580,12,3,2.7,1.88,0.209,1
2327,265,535,12,1,3.9,0.81,0.602,1
2332,270,470,14,3,5.1,2.12,0.795,1
2333,275,580,16,1,1.2,2.21,0.082,1
2346,310,520,20,1,5.1,1.96,0.964,1
2360,475,355,12,1,2.1,0.53,0.175,1
2361,345,445,18,3,0.8999999999999999,1.72,0.013,1
2364,235,580,20,1,5.1,1.36,0.599,1
2373,295,485,12,3,4.8,1.34,0.571,1
2394,205,540,12,3,1.5,2.48,0.093,1
2395,180,595,14,3,3.3,2.46,0.306,1
2400,150,450,12,3,2.4,1.19,0.143,1
2402,320,480,16,3,1.2,0.72,0.011,1
2407,400,400,18,3,2.4,2.07,0.128,1
2412,285,590,20,1,4.5,1.76,0.589,1
2431,255,460,18,2,5.1,1.27,0.454,1
2436,425,405,18,1,3.6,1.43,0.557,1
2445,275,475,14,2,3.9,1.31,0.418,1
2451,380,380,14,3,1.2,2.44,0.063,1
2459,330,480,18,3,4.5,0.76,0.136,1
2464,165,375,20,2,3.9,2.37,0.562,1
2466,235,445,20,2,5.1,1.38,0.43,1
2470,310,420,16,3,5.7,2.09,0.866,1
2476,250,555,16,3,3.3,2.02,0.208,1
2477,185,590,16,1,3.0,0.74,0.17,1
2480,250,465,18,1,3.3,1.42,0.405,1
2482,180,395,20,2,3.9,2.47,0.539,1
2487,435,595,12,2,2.1,1.03,0.1,1
2501,500,595,14,2,5.1,1.16,0.489,1
2507,475,420,20,1,1.5,2.39,0.127,1
2511,380,415,14,2,3.0,1.46,0.315,1
2512,415,430,20,1,4.2,2.16,0.88,1
2518,460,355,14,2,3.9,0.96,0.413,1
2521,230,465,18,3,4.5,1.06,0.204,1
2524,435,570,16,2,5.1,2.05,0.703,1
2526,370,440,20,1,4.2,1.85,0.737,1
2529,190,440,14,2,2.4,1.45,0.194,1
2532,395,485,18,2,5.7,1.76,0.722,1
2541,220,440,12,3,1.2,0.7,0.021,1
2544,325,520,14,3,5.4,2.1,0.783,1
2547,300,555,20,1,5.4,1.21,0.622,1
2558,400,355,18,2,6.0,1.46,0.943,1
2566,170,530,14,3,1.7999999999999998,1.35,0.057,1
2574,380,495,20,1,1.5,2.42,0.108,1
2575,485,535,20,1,0.8999999999999999,1.15,0.017,1
2580,390,455,12,2,1.7999999999999998,1.46,0.138,1
2583,175,390,20,3,2.7,1.2,0.094,1
2586,420,385,16,2,2.4,2.19,0.255,1
2595,325,600,14,2,0.8999999999999999,2.07,0.027,1
2611,340,480,12,1,2.1,1.88,0.452,1
2617,410,365,18,3,2.7,1.0,0.087,1
2620,295,575,20,1,2.1,0.54,0.04,1
2622,355,455,20,3,2.4,0.87,0.039,1
2631,215,410,12,3,3.9,2.34,0.803,1
2635,250,390,14,3,4.2,2.14,0.675,1
2640,240,590,18,1,3.3,1.86,0.41,1
2649,270,410,18,3,3.0,2.16,0.211,1
2654,185,450,14,1,1.5,0.73,0.072,1
2663,355,435,16,2,4.5,1.49,0.537,1
2664,290,380,14,2,3.3,1.8,0.523,1
2668,300,415,20,3,3.9,0.77,0.104,1
2694,395,455,20,3,1.7999999999999998,2.08,0.052,1
2696,250,495,14,3,5.7,1.23,0.547,1
2697,195,360,14,3,4.2,0.97,0.344,1
2703,420,495,18,3,4.8,1.22,0.236,1
2709,355,525,18,1,4.2,1.1,0.441,1
2721,270,505,14,1,3.3,1.58,0.663,1
2727,205,495,16,2,4.8,1.06,0.388,1
2736,210,485,12,3,4.8,0.94,0.407,1
2737,500,510,20,3,4.8,2.43,0.371,1
2740,285,530,16,1,4.8,0.98,0.639,1
2743,350,395,20,2,1.2,1.09,0.021,1
2751,385,430,12,2,3.9,0.52,0.245,1
2753,340,495,20,1,2.1,0.61,0.053,1
2754,480,555,12,3,4.5,1.02,0.326,1
2767,445,545,20,2,2.1,1.76,0.071,1
2771,475,570,18,2,1.7999999999999998,1.93,0.066,1
2781,260,565,12,2,3.0,1.27,0.267,1
2783,250,550,18,2,2.1,0.6,0.03,1
2792,305,485,16,1,0.8999999999999999,1.03,0.026,1
2796,270,435,14,3,4.5,1.07,0.341,1
2812,355,430,16,1,3.0,0.81,0.257,1
2813,480,465,16,2,5.7,1.24,0.66,1
2817,430,590,16,1,2.4,0.94,0.136,1
2820,415,410,20,1,1.5,1.93,0.106,1
2822,405,530,14,1,0.8999999999999999,1.48,0.044,1
2827,255,495,14,3,1.7999999999999998,2.08,0.092,1
2835,180,375,16,2,5.1,0.78,0.448,1
2842,210,520,16,1,1.5,1.13,0.074,1
2847,240,410,16,2,4.2,0.67,0.23,1
2849,475,425,14,1,1.5,0.63,0.065,1
2857,330,530,16,1,3.0,1.9,0.483,1
2858,420,500,16,2,3.3,0.52,0.086,1
2861,375,560,14,1,2.1,0.64,0.097,1
2868,355,545,12,3,4.8,2.2,0.822,1
2880,195,510,16,1,5.4,0.77,0.669,1
2881,160,515,16,2,3.0,1.93,0.269,1
2886,185,385,20,2,4.2,2.45,0.638,1
2887,150,375,18,1,1.2,2.17,0.107,1
2892,295,385,14,3,3.3,1.33,0.26,1
2900,245,540,16,2,4.5,0.79,0.228,1
2905,210,410,18,2,1.2,1.93,0.044,1
2909,235,435,12,3,4.5,1.48,0.63,1
2920,360,580,16,3,3.0,1.77,0.14,1
2922,215,375,20,1,1.7999999999999998,2.21,0.199,1
2925,230,555,12,3,2.1,1.08,0.077,1
2926,150,595,18,1,4.5,0.96,0.397,1
2933,495,425,14,1,1.7999999999999998,0.97,0.144,1
2935,325,565,12,3,3.9,2.33,0.554,1
2947,170,410,16,3,4.5,0.64,0.182,1
2948,430,365,18,3,2.4,2.48,0.17,1
2959,330,555,18,1,3.0,0.55,0.106,1
2965,390,445,16,2,3.3,1.61,0.303,1
2973,495,440,12,1,1.2,0.86,0.074,1
2978,425,475,12,3,5.4,1.0,0.545,1
2990,350,540,14,1,3.0,1.49,0.479,1
2995,150,565,18,1,3.9,1.41,0.464,1
2996,235,565,14,1,2.1,1.53,0.231,1
2997,330,445,20,1,2.1,1.7,0.168,1
2998,265,585,12,1,3.3,1.74,0.843,1
3002,425,475,18,1,1.7999999999999998,1.6,0.131,1
3008,490,530,18,2,3.6,1.64,0.242,1
3012,400,505,14,1,1.2,2.41,0.133,1
3013,270,535,18,2,4.2,2.27,0.463,1
3018,405,510,14,2,4.2,1.59,0.538,1
3022,165,365,12,1,1.5,0.93,0.155,1
3031,390,535,20,1,3.9,1.27,0.352,1
3032,175,455,12,3,3.0,1.72,0.315,1
3037,435,470,16,3,1.7999999999999998,1.89,0.067,1
3042,220,485,20,3,6.0,2.43,0.67,1
3048,150,460,16,2,5.4,1.37,0.708,1
3053,360,480,18,1,2.1,0.87,0.096,1
3055,460,580,20,2,3.9,0.66,0.085,1
3056,400,455,20,3,3.6,1.76,0.175,1
3060,185,450,18,1,3.9,0.67,0.281,1
3073,230,510,16,3,2.7,2.18,0.166,1
3075,200,470,20,1,2.4,0.76,0.094,1
3079,235,440,20,3,1.5,0.53,0.01,1
3083,170,540,20,2,5.1,2.16,0.555,1
3093,485,445,16,3,5.4,1.35,0.458,1
3094,200,580,14,3,3.3,1.29,0.164,1
3095,485,385,16,1,3.0,0.59,0.21,1
3096,430,430,20,1,4.8,1.52,0.808,1
3107,290,465,18,1,3.3,1.7,0.483,1
3109,310,545,18,2,5.1,1.62,0.473,1
3113,150,360,20,2,5.1,0.73,0.319,1
3114,385,385,14,2,2.7,2.25,0.427,1
3125,405,585,12,2,5.1,1.17,0.679,1
3131,495,470,20,2,4.2,1.41,0.265,1
3136,445,375,20,3,5.1,2.24,0.557,1
3141,435,415,20,2,3.9,2.1,0.395,1
3143,355,475,20,2,2.7,1.63,0.127,1
3144,485,435,20,1,1.5,2.26,0.116,1
3151,365,495,16,3,1.5,1.82,0.043,1
3153,210,540,12,3,4.2,1.74,0.513,1
3160,240,565,18,2,4.2,0.84,0.162,1
3167,225,505,14,3,1.7999999999999998,1.19,0.052,1
3207,270,550,20,2,4.5,0.53,0.099,1
